series,date,division,index
growth_mom,2024-05-01,06,-8.929
growth_mom,2024-06-01,06,3.989
growth_mom,2024-07-01,06,-2.104
growth_mom,2024-08-01,06,-6.888
growth_mom,2024-09-01,06,2.797
growth_mom,2024-10-01,06,14.659
growth_mom,2024-11-01,06,0.232
growth_mom,2024-12-01,06,3.981
growth_mom,2025-01-01,06,-0.491
growth_mom,2025-02-01,06,-12.488
growth_mom,2025-03-01,06,17.812
growth_mom,2025-04-01,06,-13.852
growth_mom,2025-05-01,06,-12.774
growth_mom,2025-06-01,06,15.836
growth_mom,2025-07-01,06,2.15
growth_mom,2025-08-01,06,4.191
growth_mom,2025-09-01,06,-2.934
growth_mom,2025-10-01,06,10.079
growth_mom,2025-11-01,06,-3.142
growth_mom,2025-12-01,06,-0.873
growth_mom,2026-01-01,06,2.122
growth_mom,2026-02-01,06,-14.262
growth_mom,2026-03-01,06,12.308
growth_mom,2026-04-01,06,-1.574
growth_mom,2026-05-01,06,-2.156
abs,2015-01-01,10,89.547
abs,2015-02-01,10,79.713
abs,2015-03-01,10,92.052
abs,2015-04-01,10,102.346
abs,2015-05-01,10,102.766
abs,2015-06-01,10,105.411
abs,2015-07-01,10,98.55
abs,2015-08-01,10,112.413
abs,2015-09-01,10,108.204
abs,2015-10-01,10,109.949
abs,2015-11-01,10,101.944
abs,2015-12-01,10,97.104
abs,2016-01-01,10,91.413
abs,2016-02-01,10,83.92
abs,2016-03-01,10,101.026
abs,2016-04-01,10,93.772
abs,2016-05-01,10,96.781
abs,2016-06-01,10,95.904
abs,2016-07-01,10,102.399
abs,2016-08-01,10,109.974
abs,2016-09-01,10,106.334
abs,2016-10-01,10,113.357
abs,2016-11-01,10,114.529
abs,2016-12-01,10,106.948
abs,2017-01-01,10,99.374
abs,2017-02-01,10,97.742
abs,2017-03-01,10,104.141
abs,2017-04-01,10,109.607
abs,2017-05-01,10,109.698
abs,2017-06-01,10,102.874
abs,2017-07-01,10,125.934
abs,2017-08-01,10,120.771
abs,2017-09-01,10,116.552
abs,2017-10-01,10,121.24
abs,2017-11-01,10,122.754
abs,2017-12-01,10,126.648
abs,2018-01-01,10,117.897
abs,2018-02-01,10,99.98
abs,2018-03-01,10,111.358
abs,2018-04-01,10,114.591
abs,2018-05-01,10,113.415
abs,2018-06-01,10,106.508
abs,2018-07-01,10,121.23
abs,2018-08-01,10,123.162
abs,2018-09-01,10,125.138
abs,2018-10-01,10,124.38
abs,2018-11-01,10,120.335
abs,2018-12-01,10,124.424
abs,2019-01-01,10,120.734
abs,2019-02-01,10,106.613
abs,2019-03-01,10,119.168
abs,2019-04-01,10,119.294
abs,2019-05-01,10,118.547
abs,2019-06-01,10,110.624
abs,2019-07-01,10,121.7
abs,2019-08-01,10,125.517
abs,2019-09-01,10,126.884
abs,2019-10-01,10,125.315
abs,2019-11-01,10,122.566
abs,2019-12-01,10,124.266
abs,2020-01-01,10,113.053
abs,2020-02-01,10,111.261
abs,2020-03-01,10,107.467
abs,2020-04-01,10,119.754
abs,2020-05-01,10,126.398
abs,2020-06-01,10,130.096
abs,2020-07-01,10,131.721
abs,2020-08-01,10,133.558
abs,2020-09-01,10,134.028
abs,2020-10-01,10,120.856
abs,2020-11-01,10,111.151
abs,2020-12-01,10,112.839
abs,2021-01-01,10,112.884
abs,2021-02-01,10,101.501
abs,2021-03-01,10,114.676
abs,2021-04-01,10,122.418
abs,2021-05-01,10,118.396
abs,2021-06-01,10,127.877
abs,2021-07-01,10,125.49
abs,2021-08-01,10,131.497
abs,2021-09-01,10,140.564
abs,2021-10-01,10,131.702
abs,2021-11-01,10,126.142
abs,2021-12-01,10,124.864
abs,2022-01-01,10,120.763
abs,2022-02-01,10,107.777
abs,2022-03-01,10,119.283
abs,2022-04-01,10,126.322
abs,2022-05-01,10,123.372
abs,2022-06-01,10,127.995
abs,2022-07-01,10,131.954
abs,2022-08-01,10,141.459
abs,2022-09-01,10,145.724
abs,2022-10-01,10,136.48
abs,2022-11-01,10,132.379
abs,2022-12-01,10,130.837
abs,2023-01-01,10,125.52
abs,2023-02-01,10,120.951
abs,2023-03-01,10,127.865
abs,2023-04-01,10,119.374
abs,2023-05-01,10,136.02
abs,2023-06-01,10,130.784
abs,2023-07-01,10,136.63
abs,2023-08-01,10,146.93
abs,2023-09-01,10,153.18
abs,2023-10-01,10,145.311
abs,2023-11-01,10,145.087
abs,2023-12-01,10,138.213
abs,2024-01-01,10,131.03
abs,2024-02-01,10,116.495
abs,2024-03-01,10,124.291
abs,2024-04-01,10,124.765
abs,2024-05-01,10,142.147
abs,2024-06-01,10,139.188
abs,2024-07-01,10,150.992
abs,2024-08-01,10,163.215
abs,2024-09-01,10,158.296
abs,2024-10-01,10,156.826
abs,2024-11-01,10,152.026
abs,2024-12-01,10,148.25
abs,2025-01-01,10,141.043
abs,2025-02-01,10,130.032
abs,2025-03-01,10,135.184
abs,2025-04-01,10,141.189
abs,2025-05-01,10,159.704
abs,2025-06-01,10,153.435
abs,2025-07-01,10,163.236
abs,2025-08-01,10,167.652
abs,2025-09-01,10,171.615
abs,2025-10-01,10,173.34
abs,2025-11-01,10,164.214
abs,2025-12-01,10,166.157
abs,2026-01-01,10,159.409
abs,2026-02-01,10,137.218
abs,2026-03-01,10,148.039
abs,2026-04-01,10,153.643
abs,2026-05-01,10,165.937
growth_yoy,2016-01-01,10,2.083
growth_yoy,2016-02-01,10,5.278
growth_yoy,2016-03-01,10,9.748
growth_yoy,2016-04-01,10,-8.377
growth_yoy,2016-05-01,10,-5.824
growth_yoy,2016-06-01,10,-9.019
growth_yoy,2016-07-01,10,3.905
growth_yoy,2016-08-01,10,-2.17
growth_yoy,2016-09-01,10,-1.728
growth_yoy,2016-10-01,10,3.1
growth_yoy,2016-11-01,10,12.345
growth_yoy,2016-12-01,10,10.137
growth_yoy,2017-01-01,10,8.709
growth_yoy,2017-02-01,10,16.469
growth_yoy,2017-03-01,10,3.083
growth_yoy,2017-04-01,10,16.886
growth_yoy,2017-05-01,10,13.347
growth_yoy,2017-06-01,10,7.267
growth_yoy,2017-07-01,10,22.984
growth_yoy,2017-08-01,10,9.818
growth_yoy,2017-09-01,10,9.609
growth_yoy,2017-10-01,10,6.954
growth_yoy,2017-11-01,10,7.182
growth_yoy,2017-12-01,10,18.42
growth_yoy,2018-01-01,10,18.64
growth_yoy,2018-02-01,10,2.29
growth_yoy,2018-03-01,10,6.931
growth_yoy,2018-04-01,10,4.547
growth_yoy,2018-05-01,10,3.388
growth_yoy,2018-06-01,10,3.533
growth_yoy,2018-07-01,10,-3.735
growth_yoy,2018-08-01,10,1.979
growth_yoy,2018-09-01,10,7.366
growth_yoy,2018-10-01,10,2.589
growth_yoy,2018-11-01,10,-1.971
growth_yoy,2018-12-01,10,-1.756
growth_yoy,2019-01-01,10,2.406
growth_yoy,2019-02-01,10,6.634
growth_yoy,2019-03-01,10,7.013
growth_yoy,2019-04-01,10,4.104
growth_yoy,2019-05-01,10,4.525
growth_yoy,2019-06-01,10,3.864
growth_yoy,2019-07-01,10,0.388
growth_yoy,2019-08-01,10,1.912
growth_yoy,2019-09-01,10,1.396
growth_yoy,2019-10-01,10,0.752
growth_yoy,2019-11-01,10,1.854
growth_yoy,2019-12-01,10,-0.127
growth_yoy,2020-01-01,10,-6.362
growth_yoy,2020-02-01,10,4.361
growth_yoy,2020-03-01,10,-9.819
growth_yoy,2020-04-01,10,0.386
growth_yoy,2020-05-01,10,6.623
growth_yoy,2020-06-01,10,17.602
growth_yoy,2020-07-01,10,8.234
growth_yoy,2020-08-01,10,6.406
growth_yoy,2020-09-01,10,5.63
growth_yoy,2020-10-01,10,-3.558
growth_yoy,2020-11-01,10,-9.314
growth_yoy,2020-12-01,10,-9.195
growth_yoy,2021-01-01,10,-0.149
growth_yoy,2021-02-01,10,-8.772
growth_yoy,2021-03-01,10,6.708
growth_yoy,2021-04-01,10,2.224
growth_yoy,2021-05-01,10,-6.331
growth_yoy,2021-06-01,10,-1.706
growth_yoy,2021-07-01,10,-4.73
growth_yoy,2021-08-01,10,-1.543
growth_yoy,2021-09-01,10,4.877
growth_yoy,2021-10-01,10,8.974
growth_yoy,2021-11-01,10,13.487
growth_yoy,2021-12-01,10,10.657
growth_yoy,2022-01-01,10,6.979
growth_yoy,2022-02-01,10,6.183
growth_yoy,2022-03-01,10,4.017
growth_yoy,2022-04-01,10,3.189
growth_yoy,2022-05-01,10,4.203
growth_yoy,2022-06-01,10,0.093
growth_yoy,2022-07-01,10,5.151
growth_yoy,2022-08-01,10,7.576
growth_yoy,2022-09-01,10,3.671
growth_yoy,2022-10-01,10,3.628
growth_yoy,2022-11-01,10,4.945
growth_yoy,2022-12-01,10,4.783
growth_yoy,2023-01-01,10,3.939
growth_yoy,2023-02-01,10,12.223
growth_yoy,2023-03-01,10,7.195
growth_yoy,2023-04-01,10,-5.5
growth_yoy,2023-05-01,10,10.252
growth_yoy,2023-06-01,10,2.179
growth_yoy,2023-07-01,10,3.544
growth_yoy,2023-08-01,10,3.867
growth_yoy,2023-09-01,10,5.116
growth_yoy,2023-10-01,10,6.471
growth_yoy,2023-11-01,10,9.599
growth_yoy,2023-12-01,10,5.638
growth_yoy,2024-01-01,10,4.389
growth_yoy,2024-02-01,10,-3.684
growth_yoy,2024-03-01,10,-2.796
growth_yoy,2024-04-01,10,4.515
growth_yoy,2024-05-01,10,4.505
growth_yoy,2024-06-01,10,6.426
growth_yoy,2024-07-01,10,10.511
growth_yoy,2024-08-01,10,11.084
growth_yoy,2024-09-01,10,3.34
growth_yoy,2024-10-01,10,7.924
growth_yoy,2024-11-01,10,4.783
growth_yoy,2024-12-01,10,7.262
growth_yoy,2025-01-01,10,7.642
growth_yoy,2025-02-01,10,11.62
growth_yoy,2025-03-01,10,8.764
growth_yoy,2025-04-01,10,13.165
growth_yoy,2025-05-01,10,12.351
growth_yoy,2025-06-01,10,10.236
growth_yoy,2025-07-01,10,8.109
growth_yoy,2025-08-01,10,2.718
growth_yoy,2025-09-01,10,8.414
growth_yoy,2025-10-01,10,10.53
growth_yoy,2025-11-01,10,8.017
growth_yoy,2025-12-01,10,12.079
growth_yoy,2026-01-01,10,13.022
growth_yoy,2026-02-01,10,5.527
growth_yoy,2026-03-01,10,9.51
growth_yoy,2026-04-01,10,8.82
growth_yoy,2026-05-01,10,3.903
growth_mom,2015-02-01,10,-10.982
growth_mom,2015-03-01,10,15.48
growth_mom,2015-04-01,10,11.182
growth_mom,2015-05-01,10,0.411
growth_mom,2015-06-01,10,2.574
growth_mom,2015-07-01,10,-6.509
growth_mom,2015-08-01,10,14.067
growth_mom,2015-09-01,10,-3.744
